LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT
14.2930700000,19.7644000000,325.2900000000,2.8200000000,1.6000000000,2022/11/17,"0000",A,"100",6.1NRT,292.6300000000,102.9300000000,N
14.2787200000,19.7627000000,328.4900000000,2.8200000000,1.6000000000,2022/11/17,"0000",A,"100",6.1NRT,293.0500000000,121.4400000000,N
14.2772200000,19.7548400000,319.0400000000,2.8200000000,1.6000000000,2022/11/17,"0000",A,"98",6.1NRT,292.4100000000,76.5400000000,N
11.1774100000,32.4695500000,315.4500000000,1.8600000000,1.3300000000,2022/11/17,"0000",A,"91",6.1NRT,291.6800000000,33.9600000000,N
11.1814100000,32.4803900000,315.7300000000,1.8600000000,1.3300000000,2022/11/17,"0000",A,"92",6.1NRT,292.3900000000,34.9400000000,N
11.1695600000,32.4783700000,317.2600000000,1.8600000000,1.3300000000,2022/11/17,"0000",A,"95",6.1NRT,292.7500000000,39.5100000000,N
9.3209700000,25.7253000000,316.6800000000,1.0200000000,1.0100000000,2022/11/17,"0002",A,"94",6.1NRT,291.1600000000,15.1500000000,N
9.0946400000,25.6987500000,329.4700000000,1.0200000000,1.0100000000,2022/11/17,"0002",A,"100",6.1NRT,295.5200000000,26.9000000000,N
9.0869600000,25.6909600000,318.2500000000,1.0200000000,1.0100000000,2022/11/17,"0002",A,"96",6.1NRT,294.2600000000,16.6900000000,N
9.0856100000,25.7001000000,326.0900000000,1.0200000000,1.0100000000,2022/11/17,"0002",A,"100",6.1NRT,296.6800000000,25.0900000000,N
9.0779600000,25.6896500000,344.6000000000,1.0200000000,1.0100000000,2022/11/17,"0002",A,"100",6.1NRT,295.4400000000,53.5400000000,N
9.0766300000,25.6987700000,351.3800000000,1.0200000000,1.0100000000,2022/11/17,"0002",A,"100",6.1NRT,297.9800000000,67.3500000000,N
